id,name,created_at
2,Communication,2025-11-22 12:01:39.894775+00
3,Teamwork,2025-11-22 12:01:39.894775+00
4,Time Management,2025-11-22 12:01:39.894775+00
5,Problem Solving,2025-11-22 12:01:39.894775+00
6,Critical Thinking,2025-11-22 12:01:39.894775+00
7,Microsoft Excel,2025-11-22 12:01:39.894775+00
8,PowerPoint,2025-11-22 12:01:39.894775+00
9,Word,2025-11-22 12:01:39.894775+00
10,SQL,2025-11-22 12:01:39.894775+00
11,Python,2025-11-22 12:01:39.894775+00
12,Data Analysis,2025-11-22 12:01:39.894775+00
13,Project Management,2025-11-22 12:01:39.894775+00
14,Customer Service,2025-11-22 12:01:39.894775+00
15,Presentation Skills,2025-11-22 12:01:39.894775+00
16,Planning & Organizing,2025-11-22 12:01:39.894775+00
17,Adaptability,2025-11-22 12:01:39.894775+00
18,Attention to Detail,2025-11-22 12:01:39.894775+00
19,Stakeholder Management,2025-11-22 12:01:39.894775+00
20,Reporting,2025-11-22 12:01:39.894775+00
21,Business Analysis,2025-11-22 12:01:39.894775+00
22,Leadership,2025-11-22 12:01:39.894775+00
23,Creativity,2025-11-22 12:01:39.894775+00
24,Negotiation,2025-11-22 12:01:39.894775+00
25,Collaboration,2025-11-22 12:01:39.894775+00
26,Documentation,2025-11-22 12:01:39.894775+00
