id,user_id,target_type,target_id,created_at
1,60,job,4,2025-11-23 16:01:17.588539+00
2,18,consultant,8,2025-11-23 16:02:22.719521+00
3,6,job,1,2025-11-23 16:13:12.780462+00
4,46,consultant,5,2025-11-24 08:22:54.944538+00
5,12,job,7,2025-11-24 09:10:30.070045+00
6,60,job,5,2025-11-25 07:33:11.896585+00
7,18,consultant,3,2025-11-25 07:34:20.014466+00
8,60,job,7,2025-11-25 18:45:58.529008+00
9,18,consultant,36,2025-11-25 18:48:36.416918+00
10,12,job,8,2025-11-30 10:32:47.26921+00
11,12,job,2,2025-11-30 10:36:52.263832+00
12,48,job,7,2025-11-30 10:45:42.009425+00
13,48,job,3,2025-11-30 10:46:31.549429+00
14,48,job,6,2025-11-30 10:48:31.367921+00
15,9,consultant,47,2025-11-30 10:49:51.879438+00
16,48,job,2,2025-11-30 10:53:57.859505+00
17,9,consultant,44,2025-11-30 13:39:09.009948+00
18,9,consultant,40,2025-11-30 15:29:54.438031+00
19,58,job,4,2025-11-30 17:20:21.110262+00
20,83,job,5,2025-11-30 19:01:43.877909+00
21,59,consultant,3,2025-12-01 08:37:24.712535+00
22,75,consultant,48,2025-12-01 10:52:04.801986+00
23,64,job,1,2025-12-01 11:57:11.750318+00
24,12,job,10,2025-12-01 15:21:21.601604+00
25,59,consultant,1,2025-12-01 15:41:15.904354+00
26,46,consultant,48,2025-12-01 16:35:11.465427+00
27,51,consultant,46,2025-12-01 16:38:47.527546+00
28,6,job,9,2025-12-01 16:50:32.558322+00
29,94,consultant,32,2025-12-01 19:34:34.335063+00
30,94,consultant,1,2025-12-01 19:34:57.668761+00
31,94,consultant,5,2025-12-01 19:49:49.307865+00
32,94,consultant,3,2025-12-01 19:51:00.292165+00
33,53,consultant,5,2025-12-01 19:53:53.770778+00
34,60,job,6,2025-12-02 10:53:23.609127+00
35,46,consultant,31,2025-12-03 13:02:13.340624+00
36,12,job,6,2025-12-03 14:43:52.566937+00
37,59,consultant,50,2025-12-03 18:06:04.958798+00
38,12,job,5,2025-12-03 19:22:17.753757+00
39,12,job,14,2025-12-04 17:24:25.474138+00
40,51,consultant,1,2025-12-05 16:19:49.733928+00
41,51,consultant,3,2025-12-05 16:28:28.617783+00
42,9,consultant,28,2025-12-05 18:46:59.656648+00
43,100,job,15,2025-12-05 18:48:21.392991+00
44,46,consultant,24,2025-12-06 15:22:39.319292+00
45,18,consultant,32,2025-12-07 09:07:30.893311+00
46,110,consultant,65,2025-12-07 11:33:30.571024+00
47,109,job,18,2025-12-07 11:34:04.08696+00
48,110,consultant,69,2025-12-07 11:34:07.164193+00
49,127,job,26,2025-12-07 18:11:39.54896+00
50,112,consultant,79,2025-12-07 18:11:55.060293+00
51,128,job,23,2025-12-07 18:17:50.208928+00
52,111,consultant,80,2025-12-07 18:17:54.642395+00
53,129,job,35,2025-12-07 18:25:06.142213+00
54,121,consultant,81,2025-12-07 18:25:10.58713+00
55,131,consultant,73,2025-12-07 18:46:38.391563+00
56,131,consultant,78,2025-12-07 18:47:02.214379+00
57,59,consultant,31,2025-12-08 17:17:23.019533+00
58,113,consultant,73,2025-12-08 18:37:05.494407+00
59,113,consultant,78,2025-12-08 20:47:45.829197+00
60,6,job,37,2025-12-10 20:07:30.261667+00
61,121,consultant,1,2025-12-10 20:07:32.591714+00
62,6,job,29,2025-12-10 20:21:31.77031+00
63,6,job,33,2025-12-10 20:28:15.300703+00
64,113,consultant,64,2025-12-10 20:28:34.543152+00
65,120,consultant,1,2025-12-10 20:56:38.823668+00
66,12,job,42,2025-12-11 15:39:24.518361+00
67,136,consultant,78,2025-12-11 15:47:46.1096+00
68,120,consultant,31,2025-12-11 15:49:25.177005+00
69,9,consultant,68,2025-12-11 15:52:03.001537+00
70,136,consultant,75,2025-12-11 16:12:30.251627+00
71,138,consultant,3,2025-12-11 16:20:37.285571+00
72,138,consultant,67,2025-12-11 16:26:47.251367+00
73,138,consultant,63,2025-12-11 16:38:04.517232+00
74,139,consultant,1,2025-12-11 16:39:24.443177+00
75,139,consultant,77,2025-12-11 16:50:11.222303+00
76,113,consultant,66,2025-12-11 16:51:18.651715+00
77,12,job,47,2025-12-11 18:42:42.599825+00
78,9,consultant,5,2025-12-12 11:38:47.902891+00
79,46,consultant,1,2025-12-12 11:39:22.005148+00
80,113,consultant,74,2025-12-12 12:45:17.294838+00
81,113,consultant,80,2025-12-12 12:46:21.03735+00
82,113,consultant,77,2025-12-12 12:47:41.645641+00
83,113,consultant,70,2025-12-12 12:47:49.49359+00
